tic_id,original_flag_reason,final_verdict,tests_passed,consistent_across_sectors,centroid_stable,secondary_depth_ratio,ttv_significant,odd_even_pvalue,is_likely_starspot,shape_is_physical,depth_to_cdpp_ratio,human_review_note
219698950,Asymmetric transit shape (symmetry score: 0.52 < 0.70); Borderline BLS signal SNR (5.02 < 6.5),FLAG,5,True,True,0.0336,True,0.3911,False,False,3.48,Transit shape prefers box over trapezoid (BIC diff=-8.944); Significant TTV amplitude (52.4 min) → multi-planet system candidate
233720539,Borderline BLS signal SNR (6.09 < 6.5),FLAG,5,True,True,0.0,True,0.3997,False,False,4.55,Transit shape prefers box over trapezoid (BIC diff=-9.371); Significant TTV amplitude (77.4 min) → multi-planet system candidate
147456499,Borderline combined confidence score,DISCARD,3,False,True,0.0125,True,0.9865,False,False,1.29,Transit depth below 3× CDPP noise floor
214243287,Asymmetric transit shape (symmetry score: 0.69 < 0.70),FLAG,5,True,True,0.0173,True,0.5009,False,False,5.72,Transit shape prefers box over trapezoid (BIC diff=-8.679); Significant TTV amplitude (74.52 min) → multi-planet system candidate
442530946,Asymmetric transit shape (symmetry score: 0.09 < 0.70); Borderline BLS signal SNR (6.20 < 6.5),FLAG,4,False,True,0.0169,True,0.6428,False,False,4.83,Signal detected in only 1 TESS sector — may be 1-sector artefact; Transit shape prefers box over trapezoid (BIC diff=-8.571); Significant TTV amplitude (211.32 min) → multi-planet system candidate
355732304,Asymmetric transit shape (symmetry score: 0.35 < 0.70); Borderline BLS signal SNR (5.40 < 6.5),DISCARD,4,True,True,0.0,True,0.802,False,False,1.46,Transit depth below 3× CDPP noise floor
458857720,Borderline BLS signal SNR (5.37 < 6.5),FLAG,5,True,True,0.006,True,0.8875,False,False,7.6,Transit shape prefers box over trapezoid (BIC diff=-4.423); Significant TTV amplitude (112.97 min) → multi-planet system candidate
398572544,Borderline combined confidence score,DISCARD,4,True,True,0.0,True,0.9557,False,False,2.52,Transit depth below 3× CDPP noise floor
176772671,Borderline BLS signal SNR (6.22 < 6.5),DISCARD,4,True,True,0.2461,True,0.2824,False,False,0.52,Transit depth below 3× CDPP noise floor
209707800,Borderline combined confidence score,DISCARD,4,True,True,0.0,True,0.0774,False,False,2.39,Transit depth below 3× CDPP noise floor
144043410,Borderline BLS signal SNR (6.07 < 6.5),FLAG,4,False,True,0.0,True,0.1767,False,False,3.68,Signal detected in only 1 TESS sector — may be 1-sector artefact; Transit shape prefers box over trapezoid (BIC diff=-8.545); Significant TTV amplitude (114.78 min) → multi-planet system candidate
75878355,Borderline BLS signal SNR (5.52 < 6.5),FLAG,5,True,True,0.0024,True,0.1585,False,False,22.24,Transit shape prefers box over trapezoid (BIC diff=-9.158); Significant TTV amplitude (77.26 min) → multi-planet system candidate
188989177,Asymmetric transit shape (symmetry score: 0.00 < 0.70),KEEP,6,True,True,0.0165,True,0.8697,False,True,9.51,Upgraded from FLAG: all key diagnostics passed
391903064,Asymmetric transit shape (symmetry score: 0.33 < 0.70); Borderline BLS signal SNR (6.49 < 6.5),FLAG,5,True,True,0.0,True,0.2911,False,False,12.86,Transit shape prefers box over trapezoid (BIC diff=1.3); Significant TTV amplitude (174.42 min) → multi-planet system candidate
237808867,Borderline BLS signal SNR (5.16 < 6.5),FLAG,4,False,True,0.0,True,0.2122,False,False,7.53,Signal detected in only 1 TESS sector — may be 1-sector artefact; Transit shape prefers box over trapezoid (BIC diff=-9.25); Significant TTV amplitude (216.62 min) → multi-planet system candidate
4426490,Borderline combined confidence score,DISCARD,4,True,True,0.0,True,0.0116,False,True,2.01,Transit depth below 3× CDPP noise floor
